ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,102.57047
ID_-0.510_29.290_2022_01,12.0855
ID_-0.510_29.290_2022_02,1.3138124
ID_-0.510_29.290_2022_03,3.5861979
ID_-0.510_29.290_2022_04,1.7553127
ID_-0.510_29.290_2022_05,0.13730523
ID_-0.510_29.290_2022_06,4.200528
ID_-0.510_29.290_2022_07,0.85821927
ID_-0.510_29.290_2022_08,2.5623808
ID_-0.510_29.290_2022_09,0.8221835
ID_-0.510_29.290_2022_10,7.179651
ID_-0.510_29.290_2022_11,14.621392
ID_-0.510_29.290_2022_12,11.288164
ID_-0.510_29.290_2022_13,6.7886515
ID_-0.510_29.290_2022_14,2.143451
ID_-0.510_29.290_2022_15,27.401423
ID_-0.510_29.290_2022_16,2.9129925
ID_-0.510_29.290_2022_17,4.652849
ID_-0.510_29.290_2022_18,32.989227
ID_-0.510_29.290_2022_19,2.1414886
ID_-0.510_29.290_2022_20,16.462147
ID_-0.510_29.290_2022_21,19.239273
ID_-0.510_29.290_2022_22,16.313482
ID_-0.510_29.290_2022_23,13.474063
ID_-0.510_29.290_2022_24,17.88533
ID_-0.510_29.290_2022_25,11.392369
ID_-0.510_29.290_2022_26,8.89367
ID_-0.510_29.290_2022_27,13.172141
ID_-0.510_29.290_2022_28,15.243661
ID_-0.510_29.290_2022_29,12.996278
ID_-0.510_29.290_2022_30,19.818903
ID_-0.510_29.290_2022_31,15.835093
ID_-0.510_29.290_2022_32,15.323891
ID_-0.510_29.290_2022_33,20.496078
ID_-0.510_29.290_2022_34,12.701833
ID_-0.510_29.290_2022_35,27.86631
ID_-0.510_29.290_2022_36,23.667538
ID_-0.510_29.290_2022_37,20.764408
ID_-0.510_29.290_2022_38,20.615889
ID_-0.510_29.290_2022_39,20.721727
ID_-0.510_29.290_2022_40,26.113035
ID_-0.510_29.290_2022_41,39.61422
ID_-0.510_29.290_2022_42,50.431465
ID_-0.510_29.290_2022_43,7.3899546
ID_-0.510_29.290_2022_44,12.310311
ID_-0.510_29.290_2022_45,27.037956
ID_-0.510_29.290_2022_46,9.070123
ID_-0.510_29.290_2022_47,8.2122965
ID_-0.510_29.290_2022_48,8.895738
ID_-0.528_29.472_2022_00,97.72679
ID_-0.528_29.472_2022_01,9.029116
ID_-0.528_29.472_2022_02,4.536298
